Area,Cases,Population,Coordinates
Torfaen,362,385,51.701480000000004 -3.052050335411309
Waltham Forest,1057,382,42.3756401 -71.2358004
Southampton,964,381,50.9025349 -1.404189
Newham,1341,381,51.52999955 0.02931796029382208
Hillingdon,1157,380,51.542519299999995 -0.44833493117949663
East Renfrewshire,361,378,55.749479300000004 -4.36065924945091
Kensington and Chelsea,589,377,51.4875417 -0.1682205
Clackmannanshire,194,376,56.166395 -3.7513968
Nottinghamshire,3097,376,53.166667 -1.0
Renfrewshire,671,375,55.833333 -4.5
Wandsworth,1221,374,51.4570271 -0.1932607
Hampshire,5123,372,51.04483545 -1.2434093603442158
Nottingham,1230,372,52.9534193 -1.1496461
Enfield,1230,368,51.6520851 -0.0810175
Hertfordshire,4314,364,51.840052299999996 -0.09785519224523963
Lisburn and Castlereagh,526,362,54.5117403 -6.0348084785036065
Aberdeen City,828,362,57.1482429 -2.0928095
Wokingham,608,362,51.4570846 -0.8865370303212372
Barking and Dagenham,765,361,51.5541171 0.15050434261994267
East Ayrshire,436,357,55.5 -4.25
Telford and Wrekin,634,357,52.72144515 -2.500862391509079
Cambridgeshire,2318,356,52.333333 0.083333
Suffolk,2693,355,52.241001350000005 1.0466830312565236
Hackney and City of London,980,350,51.5432402 -0.0493621
Greenwich,995,348,51.4820845 -0.0045417
South Ayrshire,391,347,55.299818 -4.645988367016132
Thurrock,585,339,51.5080169 0.3962817395437666
City of Edinburgh,1767,337,55.9117426 -3.2770970170217173
Lincolnshire,2532,335,53.1823034 -0.2031208542548153
Milton Keynes,880,328,52.0429797 -0.7589607
West Sussex,2806,327,50.94458445 -0.5278477012862655
Buckinghamshire,1759,326,51.7834994 -0.8946440535649794
Antrim and Newtownabbey,463,325,54.6778816 -5.9249199
Westminster,826,324,51.5004439 -0.1265398
Norfolk,2907,322,52.666667 1.0
Bracknell Forest,391,321,51.4002688 -0.7417888011413043
West Berkshire,498,314,51.44631345 -1.2758819554702914
Mid and East Antrim,426,307,54.9727341 -6.1320404
Isle of Wight,423,299,50.6710482 -1.3327111133199459
Scottish Borders,345,299,55.583333 -2.833333
Haringey,807,298,51.587929849999995 -0.10541010599099046
Gloucestershire,1882,297,51.7643786 -2.1880661838719386
North Ayrshire,399,296,55.72785075 -4.727176716786229
East Sussex,1627,293,50.9404266 0.3699977891068864
"Bristol, City of",1346,291,51.4538022 -2.5972985
Ards and North Down,456,283,54.5985861 -5.612510598605282
Richmond upon Thames,556,282,51.44037225 -0.3057195504470487
Mid Ulster,415,281,41.702848450000005 -73.94562255000005
Brighton and Hove,815,281,50.845221249999994 -0.14975850541139246
Windsor and Maidenhead,422,280,51.4803412 -0.6769505204283354
Tower Hamlets,885,279,51.1288633 1.2986686
Camden,723,276,39.9448402 -75.1198911
West Lothian,500,273,55.916667 -3.5
South Gloucestershire,762,270,51.54919165 -2.4809528173453836
Powys,355,268,52.32714995 -3.3553352394722493
Wiltshire,1309,263,51.324162 -1.9032486699002247
Plymouth,678,258,50.3712659 -4.1425658
East Lothian,270,252,55.916667 -2.75
Rutland,100,252,52.6423036 -0.6632643077026672
Fife,928,248,56.3333331 -3.0000001
Islington,586,245,51.5384287 -0.0999051
Stirling,225,239,56.1181242 -3.9360012
Portsmouth,513,239,50.8036831 -1.075614
Pembrokeshire,300,238,51.8339209 -4.916667
Shetland Islands,54,236,60.333333 -1.333333
Somerset,1313,235,51.161750850000004 -3.0753867062227487
"Newry, Mourne and Down",420,233,54.0690364 -6.0401434
Perth and Kinross,338,222,56.5 -3.75
Causeway Coast and Glens,320,222,55.130595400000004 -6.327745858099967
"Bournemouth, Christchurch and Poole",834,211,50.744673199999994 -1.8579577396350433
Torbay,283,208,50.446247 -3.539499814193785
Argyll and Bute,159,185,56.4603494 -5.8618419478791015
Dumfries and Galloway,274,184,55.083333 -3.833333
Bath and North East Somerset,353,184,51.35632375 -2.486661424502094
Aberdeenshire,477,183,57.166667 -2.666667
Dorset,619,164,50.79683685 -2.34473226124306
Cornwall and Isles of Scilly,930,164,49.87163645 -6.4034597229910695
Devon,1248,157,50.724165 -3.660795843955193
Fermanagh and Omagh,182,156,54.4413243 -7.7567616226758105
Derry City and Strabane,231,153,54.826115 -7.4627993
North East Lincolnshire,218,136,53.53680335 -0.09368101348534888
Ceredigion,68,94,52.2945764 -3.9527809990291427
Moray,86,90,57.416667 -3.25
Highland,209,89,57.5066357 -5.0038367
Orkney Islands,9,40,59.01329755 -3.2312402933283337
